
-------------------------------------------------------------------
GMS: address=vagrant-28096, cluster=WorkshopExercise, physical address=10.0.2.15:47299
-------------------------------------------------------------------
Net Power: , Consumed Power:, SolarPower: , To: , Ti: , heatpumprunning: 
startTime: 1500091200, ignoreTil: 1.0, logicalTimeSec: 300.0
time zone hours=:-5
1250.0,1250.0, -0.0, 19.150000000000002, 18.145128149209572,false
1250.0,1250.0, -0.0, 18.955555555556245, 18.145777270044977,false
1250.0,1250.0, -0.0, 18.772222222221576, 18.14627902808957,false
1250.0,1250.0, -0.0, 18.6, 18.146642440943108,false
1250.0,1250.0, -0.0, 18.438888888889455, 18.14687651898261,false
1250.0,1250.0, -0.0, 18.288888888888366, 18.14699026536812,false
1250.0,1250.0, -0.0, 18.150000000000002, 18.146992676048516,false
1250.0,1250.0, -0.0, 18.022222222222666, 18.146892739767257,false
1250.0,1250.0, -0.0, 17.905555555555154, 18.146699438068175,false
1250.0,1250.0, -0.0, 19.8, 18.148023667522327,false
1250.0,1250.0, -0.0, 17.762847222222355, 18.147715156168942,false
1250.0,1250.0, -0.0, 17.726388888888756, 18.147377690214,false
1250.0,1250.0, -0.0, 17.690625, 18.147011849072,false
1250.0,1250.0, -0.0, 17.655555555555683, 18.14661821169336,false
1250.0,1250.0, -0.0, 17.62118055555543, 18.14619735656478,false
1250.0,1250.0, -0.0, 17.5875, 18.145749861709607,false
1250.0,1250.0, -0.0, 17.554513888889005, 18.14527630468822,false
1250.0,1250.0, -0.0, 17.522222222222105, 18.1447772625984,false
1250.0,1250.0, -0.0, 17.490624999999998, 18.144253312075683,false
1250.0,1250.0, -0.0, 17.459722222222332, 18.143705029293752,false
1250.0,1250.0, -0.0, 17.429513888888778, 18.14313298996479,false
1250.0,1250.0, -0.0, 17.8, 18.142858153784083,false
1250.0,1250.0, -0.0, 17.37881944444452, 18.14224618849095,false
1250.0,1250.0, -0.0, 17.356944444444363, 18.141617192333925,false
1250.0,1250.0, -0.0, 17.334375, 18.140970622731075,false
1250.0,1250.0, -0.0, 17.3111111111112, 18.14030593753505,false
1250.0,1250.0, -0.0, 17.28715277777769, 18.139622595032744,false
1250.0,1250.0, -0.0, 17.2625, 18.13892005394494,false
1250.0,1250.0, -0.0, 17.237152777777872, 18.138197773425965,false
1250.0,1250.0, -0.0, 17.211111111111016, 18.137455213063344,false
1250.0,1250.0, -0.0, 17.184375000000003, 18.13669183287745,false
1250.0,1250.0, -0.0, 17.156944444444548, 18.135907093321155,false
1250.0,1250.0, -0.0, 17.128819444444343, 18.135100455279492,false
1250.0,1250.0, -0.0, 17.4, 18.134511668402467,false
1250.0,1250.0, -0.0, 17.00173611111145, 18.1336043592341,false
1250.0,1250.0, -0.0, 16.915277777777487, 18.13262852702241,false
1250.0,1250.0, -0.0, 16.840625, 18.131593682442574,false
1250.0,1250.0, -0.0, 16.777777777777985, 18.130509328552098,false
1250.0,1250.0, -0.0, 16.72673611111095, 18.1293849607969,false
1250.0,1250.0, -0.0, 16.6875, 18.128230067017423,false
1250.0,1250.0, -0.0, 16.660069444444524, 18.127054127454706,false
1250.0,1250.0, -0.0, 16.64444444444441, 18.125866614756497,false
1250.0,1250.0, -0.0, 16.640625, 18.12467699398331,false
1250.0,1250.0, -0.0, 16.64861111111106, 18.123494722614527,false
1250.0,1250.0, -0.0, 16.66840277777787, 18.122329250554444,false
1250.0,1250.0, -0.0, 17.1, 18.121510404582576,false
1250.0,1250.0, -0.0, 16.80833333333294, 18.120458600817244,false
1250.0,1250.0, -0.0, 16.91666666666706, 18.119494410292802,false
1250.0,1250.0, -0.0, 17.025, 18.118617762834447,false
1250.0,1250.0, -0.0, 17.13333333333294, 18.11782858832359,false
1250.0,1250.0, -0.0, 17.24166666666706, 18.1171268166978,false
